name,main,sub,special,special-points,level,id,brand
heavy-edit-splatling,heavy-edit-splatling,curling-bomb,tacticooler,210,17,4050,
heavy-edit-splatling-noveau,heavy-edit-splatling,splat-bomb,crab-tank,210,17,4051,
dapple-dualies,dapple-dualies,squid-beakon,tacticooler,180,14,5000,
dapple-dualies-noveau,dapple-dualies,torpedo,reefslider,190,26,5001,
dapple-dualies-n-oct,dapple-dualies,splat-bomb,killer-wail-5-1,190,28,5002,
splat-dualies,splat-dualies,suction-bomb,crab-tank,190,3,5010,
enperry-splat-dualies,splat-dualies,curling-bomb,triple-splashdown,190,10,5011,
twinklez-splat-dualies,splat-dualies,fizzy-bomb,big-bubbler,190,15,5012,
order-dualie-replicas,splat-dualies,suction-bomb,crab-tank,190,1,5015,
glooga-dualies,glooga-dualies,splash-wall,booyah-bomb,180,21,5020,
glooga-dualies-deco,glooga-dualies,point-sensor,trizooka,190,26,5021,
dualie-squelchers,dualie-squelchers,splat-bomb,wave-breaker,200,8,5030,
custom-dualie-squelchers,dualie-squelchers,squid-beakon,super-chump,200,16,5031,
hoofz-dualie-squelchers,dualie-squelchers,point-sensor,splattercolor-screen,190,17,5032,
dark-tetra-dualies,tetra-dualies,autobomb,reefslider,200,17,5040,
light-tetra-dualies,tetra-dualies,sprinkler,zipcaster,190,24,5041,
douser-dualies-ff,douser-dualies-ff,ink-mine,killer-wail-5-1,190,22,5050,
custom-douser-dualies-ff,douser-dualies-ff,burst-bomb,triple-inkstrike,200,27,5051,
splat-brella,splat-brella,sprinkler,triple-inkstrike,210,5,6000,
sorella-brella,splat-brella,autobomb,inkjet,210,19,6001,
order-brella-replica,splat-brella,sprinkler,triple-inkstrike,210,1,6005,
tenta-brella,tenta-brella,squid-beakon,ink-vac,190,16,6010,
tenta-sorella-brella,tenta-brella,ink-mine,trizooka,200,22,6011,
tenta-brella-cre-m,tenta-brella,toxic-mist,super-chump,180,25,6012,
undercover-brella,undercover-brella,ink-mine,reefslider,180,18,6020,
undercover-sorella-brella,undercover-brella,torpedo,splattercolor-screen,180,23,6021,
patternz-undercover-brella,undercover-brella,curling-bomb,killer-wail-5-1,180,27,6022,
recycled-brella-24-mk-i,recycled-brella-24,angle-shooter,big-bubbler,190,13,6030,
recycled-brella-24-mk-ii,recycled-brella-24,toxic-mist,triple-splashdown,190,20,6031,
tri-stringer,tri-stringer,toxic-mist,killer-wail-5-1,190,4,7010,
inkline-tri-stringertri,tri-stringer,sprinkler,super-chump,190,11,7011,
bulbz-tri-stringer,tri-stringer,angle-shooter,inkjet,200,13,7012,
order-stringer-replica,tri-stringer,toxic-mist,killer-wail-5-1,190,1,7015,
reef-lux-450,reef-lux-450,curling-bomb,tenta-missiles,210,10,7020,
reef-lux-450-deco,reef-lux-450,splash-wall,reefslider,200,12,7021,
reef-lux-450-mil-k,reef-lux-450,torpedo,booyah-bomb,210,16,7022,
wellstring-v,wellstring-v,autobomb,ultra-stamp,200,19,7030,
custom-wellstring-v,wellstring-v,point-sensor,wave-breaker,200,24,7031,
splatana-stamper,splatana-stamper,burst-bomb,zipcaster,210,15,8000,
splatana-stamper-noveau,splatana-stamper,toxic-mist,crab-tank,210,20,8001,
stickerz-splatana-stamper,splatana-stamper,autobomb,booyah-bomb,190,22,8002,
order-splatana-replica,splatana-stamper,burst-bomb,zipcaster,210,1,8005,
splatana-wiper,splatana-wiper,torpedo,ultra-stamp,190,5,8010,
splatana-wiper-deco,splatana-wiper,squid-beakon,tenta-missiles,190,10,8011,
splatana-wiper-rus-t,splatana-wiper,curling-bomb,trizooka,190,14,8013,
mint-decavitator,decavitator,suction-bomb,big-bubbler,210,21,8020,
charcoal-decavitator,decavitator,splash-wall,inkjet,200,25,8021,
